ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
yuk-1-1-1,yuk-1-1,awɨ,1-1,false,expert,,,,
yab-1-1-1,yab-1-1,wɨrə,1-1,false,expert,,,,
wmr-1-1-1,wmr-1-1,awɨ,1-1,false,expert,,,,
way-1-1-1,way-1-1,ɨwu,1-1,false,expert,,,,
wai-1-1-1,wai-1-1,owɨ,1-1,false,expert,,,,
tri-1-1-1,tri-1-1,wɨɨ,1-1,false,expert,,,,
map-1-1-1,map-1-1,wɨhɨ,1-1,false,expert,,,,
mak-1-1-1,mak-1-1,ewɨ,1-1,false,expert,,,,
kax-1-1-1,kax-1-1,owɨ,1-1,false,expert,,,,
kar-1-1-1,kar-1-1,awu,1-1,false,expert,,,,
car-1-1-1,car-1-1,əwɨ,1-1,false,expert,,,,
apa-1-1-1,apa-1-1,ɨwɨ,1-1,false,expert,,,,
aku-1-1-1,aku-1-1,wɨ,1-1,false,expert,,,,
tam-1-1-1,tam-1-1,ure,1-1,false,expert,,,,
pem-1-1-1,pem-1-1,juurə,1-1,false,expert,,,,
pan-1-1-1,pan-1-1,ju,1-1,false,expert,,,,
mac-1-1-1,mac-1-1,uurɨ,1-1,false,expert,,,,
kui-1-1-1,kui-1-1,uɣe,1-1,false,expert,,,,
ing-1-1-1,ing-1-1,urə,1-1,false,expert,,,,
ikp-1-1-1,ikp-1-1,uro,1-1,false,expert,,,,
hix-1-1-1,hix-1-1,uro,1-1,false,expert,,,,
bak-1-1-1,bak-1-1,urə,1-1,false,expert,,,,
ara-1-1-1,ara-1-1,uro,1-1,false,expert,,,,
yuk-2-1-1,yuk-2-1,amo,2-1,false,expert,,,,
yab-2-1-1,yab-2-1,mərə,2-1,false,expert,,,,
wmr-2-1-1,wmr-2-1,amɨrɨ,2-1,false,expert,,,,
way-2-1-1,way-2-1,əmərə,2-1,false,expert,,,,
wai-2-1-1,wai-2-1,amoro,2-1,false,expert,,,,
tri-2-1-1,tri-2-1,əmə,2-1,false,expert,,,,
tam-2-1-1,tam-2-1,amare,2-1,false,expert,,,,
pem-2-1-1,pem-2-1,amərə,2-1,false,expert,,,,
pan-2-1-1,pan-2-1,amən,2-1,false,expert,,,,
map-2-1-1,map-2-1,ərə,2-1,false,expert,,,,
mak-2-1-1,mak-2-1,amərə,2-1,false,expert,,,,
mac-2-1-1,mac-2-1,amɨrɨ,2-1,false,expert,,,,
kui-2-1-1,kui-2-1,eɣe,2-1,false,expert,,,,
kax-2-1-1,kax-2-1,omoro,2-1,false,expert,,,,
kar-2-1-1,kar-2-1,amoro,2-1,false,expert,,,,
ing-2-1-1,ing-2-1,amərə,2-1,false,expert,,,,
ikp-2-1-1,ikp-2-1,omro,2-1,false,expert,,,,
hix-2-1-1,hix-2-1,omoro,2-1,false,expert,,,,
car-2-1-1,car-2-1,əmərə,2-1,false,expert,,,,
bak-2-1-1,bak-2-1,əmə,2-1,false,expert,,,,
ara-2-1-1,ara-2-1,omro,2-1,false,expert,,,,
apa-2-1-1,apa-2-1,omoro,2-1,false,expert,,,,
aku-2-1-1,aku-2-1,əmə,2-1,false,expert,,,,
yuk-3-1-1,yuk-3-1,nana,3-1,false,expert,,,,
yab-3-1-1,yab-3-1,ana,3-1,false,expert,,,,
wmr-3-1-1,wmr-3-1,aʔa,3-1,false,expert,,,,
way-3-1-1,way-3-1,emna,3-1,false,expert,,,,
wai-3-1-1,wai-3-1,amna,3-1,false,expert,,,,
tri-3-1-1,tri-3-1,anja,3-1,false,expert,,,,
pem-3-1-1,pem-3-1,inna,3-1,false,expert,,,,
pan-3-1-1,pan-3-1,ana,3-1,false,expert,,,,
map-3-1-1,map-3-1,naha,3-1,false,expert,,,,
mak-3-1-1,mak-3-1,nɲa,3-1,false,expert,,,,
mac-3-1-1,mac-3-1,anna,3-1,false,expert,,,,
kax-3-1-1,kax-3-1,amna,3-1,false,expert,,,,
kar-3-1-1,kar-3-1,naʔna,3-1,false,expert,,,,
ing-3-1-1,ing-3-1,ina,3-1,false,expert,,,,
hix-3-1-1,hix-3-1,amna,3-1,false,expert,,,,
car-3-1-1,car-3-1,aɲa,3-1,false,expert,,,,
apa-3-1-1,apa-3-1,ɨna,3-1,false,expert,,,,
aku-3-1-1,aku-3-1,anja,3-1,false,expert,,,,
ikp-3-1-1,ikp-3-1,t͡ʃimna,3-2,false,expert,,,,
bak-3-1-1,bak-3-1,ʃina,3-2,false,expert,,,,
ara-3-1-1,ara-3-1,t͡ʃimna,3-2,false,expert,,,,
kui-3-1-1,kui-3-1,tisuɣe,3-3,false,expert,,,,
tam-3-1-1,tam-3-1,jumna,3-4,false,expert,,,,
yab-4-1-1,yab-4-1,seni,4-1,false,expert,,,,
way-4-1-1,way-4-1,hin,4-1,false,expert,,,,
wai-4-1-1,wai-4-1,on,4-1,false,expert,,,,
kar-4-1-1,kar-4-1,enɨ,4-1,false,expert,,,,
hix-4-1-1,hix-4-1,onɨ,4-1,false,expert,,,,
apa-4-1-1,apa-4-1,senɨ,4-1,false,expert,,,,
yuk-4-1-1,yuk-4-1,ma,4-2,false,expert,,,,
way-4-2-1,way-4-2,herə,4-2,false,expert,,,,
tri-4-1-1,tri-4-1,serə,4-2,false,expert,,,,
pem-4-1-1,pem-4-1,sərə,4-2,false,expert,,,,
pan-4-1-1,pan-4-1,sɨh,4-2,false,expert,,,,
mak-4-1-1,mak-4-1,erə,4-2,false,expert,,,,
mac-4-1-1,mac-4-1,sɨrɨrɨ,4-2,false,expert,,,,
kui-4-1-1,kui-4-1,iɣe,4-2,false,expert,,,,
kax-4-1-1,kax-4-1,soro,4-2,false,expert,,,,
kar-4-2-1,kar-4-2,ero,4-2,false,expert,,,,
ing-4-1-1,ing-4-1,sərə,4-2,false,expert,,,,
car-4-1-1,car-4-1,ərə,4-2,false,expert,,,,
bak-4-1-1,bak-4-1,ʃirə,4-2,false,expert,,,,
ara-4-1-1,ara-4-1,ero,4-2,false,expert,,,,
apa-4-2-1,apa-4-2,sero,4-2,false,expert,,,,
aku-4-1-1,aku-4-1,t͡ʃerə,4-2,false,expert,,,,
ikp-4-1-1,ikp-4-1,nen,4-3,false,expert,,,,
ara-4-2-1,ara-4-2,nen,4-3,false,expert,,,,
wmr-4-1-1,wmr-4-1,anji,4-4,false,expert,,,,
wmr-4-2-1,wmr-4-2,kanji,4-4,false,expert,,,,
map-4-1-1,map-4-1,mehe,4-5,false,expert,,,,
wmr-5-1-1,wmr-5-1,mɨrɨ,5-1,false,expert,,,,
way-5-1-1,way-5-1,mərə,5-1,false,expert,,,,
