ID,Description,Source
66-1,ət-epɨ,
66-2,oməkɨ,
66-3,tɨta,
70-1,utu,
70-2,[t]ɨrɨ,
70-3,ɨmɨrɨ,
70-4,ekarəma,
70-5,,
71-1,ka,
71-2,,
71-3,,
71-4,,
72-1,weju,
72-2,titi,
72-3,kamɨ,
72-4,,
72-5,,
72-6,,
73-1,nunə,
73-2,kapəi,
73-3,,
73-4,,
73-5,,
73-6,,
74-1,tirikə,
74-2,,
74-3,,
75-1,tuna,
75-2,paru,
76-1,konopo,
76-2,tuna,
76-3,,
76-4,,
77-1,təpu,
77-2,,
78-1,tjamutu,
78-2,tjakaw,
78-3,irenmumno,
78-4,,
78-5,,
78-6,,
78-7,,
78-8,,
78-9,,
78-10,,
78-11,,
78-12,,
79-1,nono,
79-2,ro[w/n]o,
79-3,,
79-4,,
80-1,kapurutu,
80-2,kamuCV,
80-3,,
80-4,,
80-5,,
80-6,,
80-7,,
80-8,,
80-9,,
80-10,,
80-11,,
80-12,,
81-1,-əreti-,
81-2,,
81-3,,
81-4,,
81-5,,
81-6,,
81-7,,
82-1,wapoto,
82-2,wepVto,
82-3,mapoto,
82-4,,
82-5,,
83-1,[w][ə/e]ru-,
83-2,,
83-3,,
83-4,,
83-5,,
83-6,,
83-7,,
83-8,,
84-1,[j]atu,
84-2,ət-akɨ,
84-3,,
84-4,,
84-5,,
84-6,,
84-7,,
84-8,,
84-9,,
84-10,,
85-1,ətema,
85-2,,
86-1,[w]ɨpɨ,
86-2,jutu,
86-3,,
86-4,,
86-5,,
86-6,,
86-7,,
86-8,,
87-1,takpire,
87-2,taCmire,
87-3,[t/j]uwiju,
87-4,tuture,
87-5,,
87-6,,
87-7,,
87-8,,
87-9,,
87-10,,
87-11,,
87-12,,
88-1,,
88-2,,
88-3,,
88-4,,
88-5,,
88-6,,
88-7,,
88-8,,
88-9,,
88-10,,
88-11,,
88-12,,
88-13,,
88-14,,
88-15,,
88-16,,
88-17,,
88-18,,
88-19,,
88-20,,
89-1,,
89-2,,
89-3,,
89-4,,
89-5,,
89-6,,
89-7,,
89-8,,
89-9,,
89-10,,
89-11,,
89-12,,
89-13,,
89-14,,
89-15,,
89-16,,
89-17,,
89-18,,
89-19,,
90-1,-arimutu-,
90-2,-koro-,
90-3,-aperike-,
90-4,,
90-5,,
90-6,,
90-7,,
90-8,,
90-9,,
91-1,-puru-,
91-2,-ariCkɨtu-,
91-3,-inukutu-,
91-4,,
91-5,,
91-6,,
91-7,,
91-8,,
91-9,,
91-10,,
91-11,,
91-12,,
91-13,,
91-14,,
91-15,,
91-16,,
91-17,,
92-1,koko,
92-2,koko-pa-je,
92-3,koko-sə-,
92-4,ewarupɨ,
92-5,,
92-6,,
93-1,t-ak[tu]-ne,
93-2,atinV,
93-3,jətu-,
93-4,atu-,
93-5,,
93-6,,
93-7,,
93-8,,
94-1,kəmiti-,
94-2,iʔnətə,
94-3,[t]ɨnotɨ-,
94-4,,
94-5,,
94-6,,
94-7,,
94-8,,
94-9,,
94-10,,
94-11,,
94-12,,
94-13,,
94-14,,
95-4,,
95-21,,
95-3,,
95-5,,
95-6,,
95-7,,
95-8,,
95-9,,
95-11,,
95-12,,
95-13,,
95-14,,
95-15,,
95-16,,
95-17,,
95-18,,
95-19,,
95-20,,
97-1,kure,
97-2,,
97-3,,
97-4,,
97-5,,
97-6,,
97-7,,
97-8,,
97-9,,
97-10,,
97-11,,
96-1,kaenano,
96-2,əmena-,
96-3,,
96-4,,
96-5,,
96-6,,
96-7,,
96-8,,
96-9,,
96-10,,
96-11,,
96-12,,
96-13,,
96-14,,
96-15,,
96-16,,
98-18,,
98-1,amoko-[waru/ipɨ],
98-2,tamnone,
98-3,,
98-4,,
98-5,,
98-6,,
98-7,,
98-8,,
98-9,,
98-10,,
98-11,,
98-12,,
98-13,,
98-14,,
98-15,,
98-16,,
98-17,,
99-16,,
99-1,awapita,
