"IPA","Ortho"
"b",
"t",
"d",
"k",
"g",
"m",
"n",
"ɲ",
"r",
"s",
"h",
"i",
"ɨ",
"u",
"e",
"o",
"ə",
"a",
"t͡ʃ",
"w",
"j",
