IPA	Ortho	Grapheme
p		p
t		t
k		k
ʔ		ʔ
m		m
n		n
r		r
j		j
h		h
i		i
ɨ		ɨ
u		u
e		e
o		o
a		a
t͡ʃ		t͡ʃ
w		w
s		s
