IPA,Ortho
p,p
t,t
k,k
b,b
d,d
g,g
m,m
n,n
r,r
l,l
w,w
j,j
a,a
e,e
i,i
o,o
u,u
ŋ,ng
t͡ʃ,tx
ɨ,y
