IPA	Ortho	Grapheme
a	a	a
ã	ã	ã
e	e	e
ẽ	ẽ	ẽ
ɨ	â	ɨ
ɨ̃	ẫ	ɨ̃
ɣ	r	ɣ
h	h	h
i	i	i
ĩ	ĩ	ĩ
ɟ	dʸ	ɟ
k	k	k
l	l	l
m	m	m
n	n	n
ɲ	ñ	ɲ
ŋ	g	ŋ
o	o	o
õ	õ	õ
p	p	p
s	s	s
t	t	t
t͡s	c	t͡s
u	u	u
ũ	ũ	ũ
w	w	w
