"IPA","Ortho"
"a","a"
"e","e"
"k","k"
"m","m"
"n","n"
"o","o"
"s","s"
"t","t"
"w","w"
"t͡ʃ","ch"
"r","d"
"i","i"
"h","j"
"ɲ","ñ"
"ə","ö"
"u","u"
"ɨ","ü"
"j","y"
"ʔ","'"
"s","sh"
