"IPA","Ortho"
"p","p; b"
"t","t; d"
"k","k; g"
"ʔ","'"
"s","s; ch"
"m",
"n",
"w",
"j",
"i",
"ɨ",
"u",
"e",
"ə",
"o",
"a",
"r",
