IPA	Ortho	Grapheme
p	p	p
b	b	b
t	t	t
d	d	d
k	k	k
s	s	s
h	h	h
m	m	m
n	n	n
r	r	r
w	w	w
t͡ʃ	tx	t͡ʃ
d͡ʒ	dj	d͡ʒ
ʔ	’	ʔ
ʃ	x	ʃ
ɲ	nj	ɲ
j	i	j
i	i	i
u	u	u
e	e	e
o	o	o
a	a	a
ɨ	y	ɨ
