IPA	Ortho	Grapheme
p	p	p
t	t	t
k	k	k
b	b	b
d	d	d
g	g	g
m	m	m
n	n	n
r	r	r
l	l	l
w	w	w
j	j	j
a	a	a
e	e	e
i	i	i
o	o	o
u	u	u
ŋ	ng	ŋ
t͡ʃ	tx	t͡ʃ
ɨ	y	ɨ
