IPA,Ortho
p,p
t,t
k,k
b,b
d,d
s,s
h,h
m,m
n,n
r,r
w,w
e,e
a,a
u,u
o,o
t͡ʃ,tx
ɟ,dy
ɸ,f
ʃ,x
ɲ,ny
rʲ,ry
j,y
ɨ,ɨ
