"IPA","Ortho"
"p","p"
"b","b"
"t","t"
"d","d"
"k","k"
"g","g"
"m","m"
"n","n"
"r","r"
"s","s"
"z","z"
"ʃ","ʃ"
"h","h"
"j","j"
"l","l"
"i","i"
"ĩ","ĩ"
"ɨ","ɨ"
"ɨ̃","ɨ̃"
"u","u"
"ũ","ũ"
"e","e"
"ẽ","ẽ"
"o","o"
"õ","õ"
"ə","ə"
"ə̃","ə̃"
"a","a"
"ã","ã"
"w","w"
