IPA	Ortho	Grapheme
i	i	i
e	e	e
u	u	u
o	o	o
a	a	a
t	t	t
s	s	s
n	n	n
r	r	r
ɨ	î	ɨ
ʃ	x	ʃ
t͡ʃ	c	t͡ʃ
ɲ	ñ; n̂	ɲ
rʲ	r̃; r̂	rʲ
j	y	j
k	k	k
m	m	m
ɸ	p	ɸ
w	w	w
h	h	h
