"IPA","Ortho"
"p","p"
"t","t"
"k","k"
"m","m"
"n","n"
"r","r"
"ʔ","ʔ"
"j","y"
"i","i"
"ɨ","ɨ"
"u","u"
"e","e"
"a","a"
"t͡ʃ","t͡ʃ"
"w","w"
"o","o"
"ə","ə"
"h","h"
