IPA	Ortho	Grapheme
p	p	p
t	t	t
k	k	k
b	b	b
d	d	d
s	s	s
h	h	h
m	m	m
n	n	n
r	r	r
w	w	w
e	e	e
a	a	a
u	u	u
o	o	o
t͡ʃ	tx	t͡ʃ
ɟ	dy	ɟ
ɸ	f	ɸ
ʃ	x	ʃ
ɲ	ny	ɲ
rʲ	ry	rʲ
j	y	j
ɨ	ɨ	ɨ
