"IPA","Ortho"
"a","a"
"e","e"
"i","i"
"o","o"
"u","u"
"ɨ","ɨ"
"p","p"
"t","t"
"k","k"
"ʔ","'"
"t͡ʃ","c"
"m","m"
"n","n"
"ɲ","ñ"
"r","r"
"w","w"
"j","y"
