IPA	Ortho	Grapheme
a	a	a
e	e	e
k	k	k
m	m	m
n	n	n
o	o	o
s	s	s
t	t	t
w	w	w
t͡ʃ	ch	t͡ʃ
r	d	r
i	i	i
h	j	h
ɲ	ñ	ɲ
ə	ö	ə
u	u	u
ɨ	ü	ɨ
j	y	j
ʔ	'	ʔ
