IPA	Ortho	Grapheme
a	a	a
e	e	e
g	g	g
i	i	i
ɨ	ɨ	ɨ
j	y	j
k	k	k
l	l	l
m	m	m
n	n	n
ŋ	ŋ	ŋ
o	o	o
p	p	p
r	r	r
t	t	t
t͡ʃ	tʃ	t͡ʃ
u	u	u
w	w	w
