IPA	Ortho	Grapheme
a	a	a
e	e	e
i	i	i
o	o	o
u	u	u
ɨ	ɨ	ɨ
p	p	p
t	t	t
k	k	k
ʔ	'	ʔ
t͡ʃ	c	t͡ʃ
m	m	m
n	n	n
ɲ	ñ	ɲ
r	r	r
w	w	w
j	y	j
