IPA	Ortho	Grapheme
p	p	p
t	t	t
k	k; c	k
ʔ	'	ʔ
m	m	m
n	n	n
s	s; ch; sh	s
r	r; l	r
j	y; d	j
w	w	w
a	a	a
e	e	e
i	i	i
o	o	o
u	u	u
ə	ö	ə
ɨ	ü	ɨ
