IPA,Ortho
p,p
b,b
t,t
d,d
k,k
s,s
h,h
m,m
n,n
r,r
w,w
t͡ʃ,tx
d͡ʒ,dj
ʔ,’
ʃ,x
ɲ,nj
j,i
i,i
u,u
e,e
o,o
a,a
ɨ,y
