"IPA","Ortho"
"a","a"
"e","e"
"i","i"
"o","o"
"u","u"
"ɨ","ï"
"ə","ë"
"p","p"
"t","t"
"k","k"
"m","m"
"n","n"
"h","h"
"r","l"
"w","w"
"j","j"
