IPA	Ortho	Grapheme
p	p; b	p
t	t; d	t
k	k; g	k
ʔ		ʔ
s		s
m		m
n		n
w		w
j		j
i		i
ɨ		ɨ
u		u
e		e
ə		ə
o		o
a		a
r		r
