"IPA","Ortho"
"a","a; á"
"ã","ã"
"e","e; é"
"ẽ","ẽ"
"ɨ","â; ấ"
"ɨ̃","ẫ"
"ɣ","r"
"h","h"
"i","i; í"
"ĩ","ĩ"
"ɟ","j"
"k","k"
"l","l"
"m","m"
"n","n"
"ɲ","ñ"
"ŋ","g"
"o","o; ó"
"õ","õ"
"p","p"
"s","s"
"t","t"
"t͡s","c"
"u","u; ú"
"ũ","ũ"
"w","w"
