"IPA","Ortho"
"p","p"
"t","t"
"k","k"
"m","m"
"n","n"
"s","s"
"w","w"
"r","r"
"h","j"
"t͡ʃ","ch"
"ɲ","ñ"
"ʔ","’"
"j","y"
"i","i"
"ɨ","ï"
"u","u"
"e","e"
"ə","ë"
"o","o"
"a","a"
