IPA	Ortho	Grapheme
a	a	a
e	e	e
i	i	i
o	o	o
u	u	u
ɨ	ï	ɨ
ə	ë	ə
p	p	p
t	t	t
k	k	k
m	m	m
n	n	n
h	h	h
r	r	r
w	w	w
j	j	j
