"IPA","Ortho"
"p","p"
"t","t"
"k","k"
"s","s; S"
"h",
"m","m"
"n","n"
"ɲ","ñ"
"r","r; l; L"
"w","w"
"j","i̠"
"a","a"
"e","e"
"i","i"
"o","o"
"ɨ","I"
"ə","E"
"u","u; U"
"t͡ʃ","tS"
