IPA	Ortho	Grapheme
p	p	p
t	t	t
k	k	k
m	m	m
n	n	n
s	s	s
w	w	w
r	r	r
h	j	h
t͡ʃ	ch	t͡ʃ
ɲ	ñ	ɲ
ʔ	’	ʔ
j	y	j
i	i	i
ɨ	ï	ɨ
u	u	u
e	e	e
ə	ë	ə
o	o	o
a	a	a
