IPA	Ortho	Grapheme
ɨ	ï	ɨ
ə	ë	ə
a	a	a
e	e	e
i	i	i
o	o	o
u	u	u
p	p	p
t	t	t
k	k	k
ʔ	ʔ	ʔ
s	s	s
m	m	m
n	n	n
r	r	r
w	w	w
j	y	j
