IPA	Ortho	Grapheme
b		b
t		t
d		d
k		k
g		g
m		m
n		n
ɲ		ɲ
r		r
s		s
h		h
i		i
ɨ		ɨ
u		u
e		e
o		o
ə		ə
a		a
t͡ʃ		t͡ʃ
w		w
j		j
