"IPA","Ortho"
"p","p"
"t","t"
"k","k"
"ʔ","’"
"s","s"
"h","h"
"m","m"
"n","n"
"ɲ","ñ"
"r","r"
"w","w"
"j","y"
"a","a"
"e","e; E"
"i","i"
"o","o"
"ɨ","ï"
"ə","ë"
"u","u"
