"ID","Cognateset_ID","Language_ID","Form","Source","Host","Comment"
"aku_1k",12,"akur1238","kɨ-; k-","meira1998proto[111]","V",
"aku_1t","1a","akur1238","t-; t͡ʃ-","meira1998proto[111]","V",
"aku_1w","1sa","akur1238","wɨ-; w-; Ø","meira1998proto[111]","V",
"aku_1a","3i","akur1238","wi-; w-; i-; Ø","meira1998proto[111]; gildea1994akuriyo","V","causes umlaut, shows variation as to loss of obj:w"
"aku_12",12,"akur1238","kɨ-; k-","meira1998proto[103]","V","no umlaut"
"aku_2a","2a; 3i","akur1238","mi-; m-","meira1998proto[101]","V","causes umlaut"
"aku_2sa","2a","akur1238","mɨ-; m-","meira1998proto[112]","V","no umlaut"
"aku_12sa","12a","akur1238","kɨt-; kɨ-; kɨh-; kV-","meira1998proto[112--115]","V","no umlaut"
"aku_12a","12a; 3i","akur1238","kəʔi-; kɨʔi-; kəʔ-; kɨt-","meira1998proto[101]","V","causes umlaut"
"aku_3a","3n; 3i","akur1238","ni-; n-","meira1998proto[104]","V","causes umlaut"
"aku_2p","2p","akur1238","ə-; o-; a-","meira1998proto[75]","V","causes umlaut"
"aku_1p","1p; link","akur1238","jV-; V-","meira1998proto[75]","V","causes umlaut"
"aku_3s","3n","akur1238","n-; nɨ-","meira1998proto[112--115]","V","no umlaut"
"apa_3pst","3ky; 3n","apal1257","kɨnɨ-; kɨn-","koehn1986apalai[108]","V","causes umlaut"
"apa_3","3n","apal1257","nɨ-; n-","koehn1986apalai[108]","V","causes umlaut"
"apa_t","t","apal1257","t-","koehn1986apalai[109]","V",
"apa_13pro","13pro","apal1257","ɨna","koehn1986apalai[95]",,"Bound counterpart: morph:apa_13pre."
"apa_13pre","13pro","apal1257","ɨna-","koehn1986apalai[95]",,"Free counterpart: morph:apa_13pro."
"apa_3i","3i","apal1257","i-; Ø-; z-","koehn1986apalai[61]","V","obj:z- before /u/ (src:koehn1986apalai[97])"
"apa_1a","1sa","apal1257","wɨ-; w-; ɨ-; Ø","koehn1986apalai[108]","V","causes umlaut"
"apa_1p","1p; link","apal1257","jɨ-; j-","koehn1986apalai[108]","V; N","causes umlaut"
"apa_2p","2p","apal1257","o-; a-","koehn1986apalai[108]","V","causes umlaut"
"apa_12a","12a","apal1257","sɨ-; s-","koehn1986apalai[108]","V","causes umlaut"
"apa_2a","2a","apal1257","mɨ-; m-","koehn1986apalai[108]","V","causes umlaut"
"apa_12","uku; link","apal1257","ku-; k-; kɨ-","koehn1986apalai[108]","V","obj:k- before /u/; obj:kɨ- before consonants (src:koehn1965verb[11])."
"apa_detrz","refl; recp","apal1257","os-; ot-; at-; e-","koehn1986apalai[43]","V",
"apa_topo","topo","apal1257","-topo","koehn1986apalai[90]","V",
"apa_agnom","ne","apal1257","-ne","koehn1986apalai[92]","V",
"apa_sup","sup","apal1257","-se","koehn1986apalai[77]","V",
