"ID","Cognateset_ID","Language_ID","Form","Meaning","Source","t?","Comment"
156,37,"waiw1244","atpo","pierce","waiwaihawkins1998[150]","n",
157,37,"kaxu1237","atpo","pierce","schuring2018kaxuyana[46]","y",
158,22,"kaxu1237","ene","see","schuring2018kaxuyana[124]","y","like in lg:hixka"
159,5,"kaxu1237","kahɨ","weave","schuring2018kaxuyana[90]","y",
160,38,"hixk1239","kukma","try","hixkaryanaderby1985[226]","n",
161,38,"trio1238","kuku","try","triomeira1999[85]","n",
162,38,"kaxu1237","kuku","try","schuring2018kaxuyana[59]","y",
163,9,"kuik1246","hɨ","bathe","franchetto2010ergativity[128]","y",
164,14,"pemo1248","wə","kill","swiggers2010gramatica[127]","n","shows obj:i-"
165,2,"pemo1248","nə","eat","pemondearmellada1944dic[197]","n","<ne>"
166,1,"pemo1248","ku","eat","pemondearmellada1944dic[197]","n",
167,5,"pemo1248","kapɨ","weave, make","pemondearmellada1944dic[238]","n","<kapui>"
168,6,"pemo1248","kɨ","grate","pemondearmellada1944dic[73]","n","<ki>"
169,9,"pemo1248","pɨ","bathe","pemondearmellada1944dic[192]","n","<pui>"
170,10,"pemo1248","rɨ","give; put","pemondearmellada1944dic[134]","n","<ri>"
171,13,"pemo1248","putu","know","pemondearmellada1944dic[235]","n","takes obj:i- (src:pemondearmellada1944dic[180])"
172,19,"pemo1248","aka","pierce; dig out","pemondearmellada1944dic[3]","n","Vowel harmony from rc:ɨka"
173,13,"trio1238","puunə(pɨ)","think about","triomeira1999[256]","n",
174,13,"hixk1239","hutwa","know","hixkaryanaderby1979[126]","n",
175,13,"macu1259","epuʔtɨ","know","macushiabbott1991[47]","n",
176,2,"kaxu1237","ono","eat (meat)","pc[Spike Gildea]","y",
177,1,"kaxu1237","ok","eat (starch)","pc[Spike Gildea]","y",
178,13,"waya1269","potnəpɨ","know","wayanatavares2005[391]","n",
179,13,"waiw1244","htɨnopɨ","know","waiwaihawkins1998[41]","n",
180,13,"gali1262","ukutɨ; uputɨ","know","courtz2008carib[412]","n",
181,13,"inga1250","ʔtu","know","cruz2005fonologia[417]","n",
182,6,"kaxu1237","(i)ki","grate manioc","pc[Spike Gildea]","y","Ambiguous whether it is obj:iki or obj:ki."
183,38,"waya1269","ukuk","try","camargo2010wayana[49]","n",
184,38,"apal1257","kuʔ","try","camargo2002lexico[56]","n",
185,38,"gali1262","uʔku","try","courtz2008carib[411]","n",
186,38,"para1310","uku","test","alves2017arara[113]","n","Not attested in good context, but not in list in src:alves2017arara."
187,38,"ikpe1245","uku","try","ikpengpacheco2001[170]","?",
189,16,"kuik1246","ki","take away; take out","franchetto2010ergativity[128]","y",
190,18,"pemo1248","pə","shoot (blowgun)","swiggers2010gramatica[219]","n",
191,28,"ikpe1245","okpe","fix; keep","alves2013verbo[201]","n",
192,32,"gali1262","upi","look for","courtz2008carib[414]","n",
193,32,"waya1269","upi","look for; find","camargo2010wayana[52]","n",
194,32,"apal1257","upi","look for","camargo2002lexico[94]","?",
195,32,"maqu1238","uhi","look for","maquiritaricaceres2011[338]","n",
196,32,"ikpe1245","uwi","look for","ikpengpacheco2001[232]","n",
197,32,"kuik1246","uhi","look for","franchetto1986kuikuro[133]","n",
220,23,"gali1262","amɨ","build","courtz2008carib[226]","n",
221,23,"maqu1238","amə","build","maquiritaricaceres2011[145]","n",
222,23,"apal1257","amo","construct","koehn1986apalai[87]","?",
224,11,"kaxu1237","jo","cook","pc[Spike Gildea]","y",
225,3,"waya1269","əwu","take out","camargo2010wayana[38]","y",
226,7,"waya1269","upapɨ","throw out","camargo2010wayana[52]","n",
