Grapheme	Ortho	IPA
p	p	p
t	t	t
k	k	k
s	s	s
m	m	m
n	n	n
r	r	r
w	w	w
j	y	j
ʔ	'	ʔ
a	a	a
e	e	e
i	i	i
o	o	o
u	u	u
ɨ	î	ɨ
